Date,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3,regime
2008-03-31,2.2143613645351658e-14,0.0,1.0,7.74698148908508e-213,2
2008-09-26,9.026225956786846e-07,2.5740817482048177e-101,0.9999990973778475,5.538795196543304e-41,2
2008-09-29,3.224254162953492e-23,3.722034398921306e-200,1.0,6.792050815956738e-76,2
2008-09-30,1.4185603247577204e-16,7.911293512493269e-168,1.0,2.0333709621901058e-83,2
2008-10-01,6.147552669789662e-11,3.357532191924271e-133,0.9999999999381544,2.282931203122348e-58,2
2008-10-02,5.2861438067829035e-17,1.7028260807122125e-167,1.0,8.942105766656298e-70,2
2008-10-03,6.232870736275041e-17,8.92001401821191e-172,1.0,1.0582782193692767e-78,2
2008-10-06,4.845928472146055e-27,2.4311023791722044e-232,1.0,2.2871910019003055e-108,2
2008-10-07,2.4550328249120163e-30,1.24039792434298e-262,1.0,1.0876047417579544e-125,2
2008-10-08,1.4891295394208237e-38,3.312738833271196e-305,1.0,1.2081526324060679e-160,2
2008-10-09,3.1266544433155726e-52,0.0,1.0,9.88649893001979e-200,2
2008-10-10,8.80408625787265e-70,0.0,1.0,5.364349829744226e-276,2
2008-10-13,6.2845523850447375e-59,0.0,1.0,7.762996282299389e-247,2
2008-10-14,4.255195528313209e-34,5.068905004175811e-300,1.0,1.8859754515630332e-172,2
2008-10-15,1.6965614485415898e-66,0.0,1.0,6.737893164309456e-234,2
2008-10-16,3.2058507905964455e-72,0.0,1.0,2.8122429953608184e-290,2
2008-10-17,1.421651030303093e-71,0.0,1.0,5.181249173379621e-285,2
2008-10-20,3.86500000661423e-37,4.98125939099673e-310,1.0,1.76516420456367e-183,2
2008-10-21,6.041863744114076e-29,1.9115200528686694e-262,1.0,1.3710134849061243e-135,2
2008-10-22,3.5762642385100713e-66,0.0,1.0,2.1836297860015199e-234,2
2008-10-23,5.3453990507734137e-67,0.0,1.0,3.2157697292311685e-273,2
2008-10-24,1.898912713414118e-96,0.0,1.0,0.0,2
2008-10-27,6.455434178961892e-100,0.0,1.0,0.0,2
2008-10-28,1.1593550746687118e-88,0.0,1.0,0.0,2
2008-10-29,6.861385870377345e-70,0.0,1.0,1.6362711025220323e-279,2
2008-10-30,6.11092038415391e-56,0.0,1.0,6.091436034141286e-241,2
2008-10-31,7.680914833605135e-47,0.0,1.0,8.366887331830513e-213,2
2008-11-03,1.6668948377170793e-31,5.800695068033682e-283,1.0,4.365962890629845e-156,2
2008-11-04,2.794957285334734e-26,4.4225852743956547e-234,1.0,3.7388735845289397e-125,2
2008-11-05,1.0418924161631698e-31,3.981842124154047e-269,1.0,4.943434340091367e-130,2
2008-11-06,7.575269939611318e-51,0.0,1.0,6.833791668368138e-194,2
2008-11-07,2.3561140460834752e-40,0.0,1.0,5.266020760004278e-189,2
2008-11-10,7.630197872280654e-44,0.0,1.0,1.1701400261232138e-186,2
2008-11-11,1.616307851073086e-46,0.0,1.0,3.399126912969588e-197,2
2008-11-12,9.972008390289425e-58,0.0,1.0,7.718528929655082e-229,2
2008-11-13,2.0489459390480605e-57,0.0,1.0,1.20470068138009e-245,2
2008-11-14,1.5179010469173211e-57,0.0,1.0,7.355227381643337e-239,2
2008-11-17,4.0954592224719107e-66,0.0,1.0,1.5748176860305677e-266,2
2008-11-18,4.2440132353972697e-66,0.0,1.0,2.4548965255548246e-270,2
2008-11-19,1.917647856890593e-79,0.0,1.0,2.080293949633013e-299,2
2008-11-20,1.2191870278619636e-100,0.0,1.0,0.0,2
2008-11-21,3.865405411980471e-93,0.0,1.0,0.0,2
2008-11-24,3.2620077492012247e-69,0.0,1.0,1.7253627703135454e-281,2
2008-11-25,4.9381516100652633e-48,0.0,1.0,5.548195307851773e-216,2
2008-11-26,6.416963500047536e-39,3.83094e-319,1.0,7.987864291058248e-182,2
2008-11-28,6.279183012337064e-36,2.8398617292571033e-297,1.0,1.1125986307857638e-162,2
